is_cross,is_cross_service,Source_service,Target_service,lag,same_dev
True,True,,horizon,2.69,True
True,False,openstackansible,openstackansible,0.57,True
True,True,openstackansible,kollaansible,1995.35,True
True,False,kolla,kolla,87.65,True
True,False,tripleo,tripleo,385.9,True
True,False,ironic,ironic,0.03,True
True,False,openstacksdk,openstacksdk,0.91,True
True,True,kolla,releasemanagement,22.14,True
True,False,glance,glance,122.71,True
True,True,requirements,neutron,0.15,False
False,False,tripleo,tripleo,1654.69,False
False,False,tripleo,tripleo,114.2,False
True,True,technicalcommittee,,94.1,True
True,False,openstackcharms,openstackcharms,0.87,True
True,False,openstackcharms,openstackcharms,0.14,True
True,False,tripleo,tripleo,166.77,False
True,False,openstackansible,openstackansible,20.07,True
True,True,openstackansible,kollaansible,1.97,True
True,False,openstackansible,openstackansible,191.77,True
True,False,ironic,ironic,18.25,True
True,False,neutron,neutron,5997.97,True
True,False,tripleo,tripleo,79.68,True
True,True,tripleo,tempest,1433.87,False
True,False,designate,designate,1369.48,True
True,False,designate,designate,1077.43,True
True,True,openstacksdk,tripleo,2029.27,False
True,False,manila,manila,4035.56,False
True,True,openstacksdk,tripleo,5180.63,True
True,True,requirements,tripleo,3666.61,False
True,True,,technicalcommittee,0.0,True
True,True,tempest,glance,145.55,False
True,True,openstackansible,,2574.66,False
True,False,openstackansible,openstackansible,18.12,False
True,True,openstackansible,,2073.25,False
True,True,openstackansible,,2577.8,False
True,True,openstackansible,kollaansible,7.3,False
True,False,tripleo,tripleo,667.23,True
True,False,tripleo,tripleo,0.35,True
True,True,openstackansible,,4.2,True
True,True,,openstackansible,3.15,True
True,False,tripleo,tripleo,311.15,True
True,False,tripleo,tripleo,806.84,True
True,True,qualityassurance,tempest,69.2,True
True,True,glance,tempest,0.03,True
True,False,tripleo,tripleo,6927.42,True
True,True,requirements,tripleo,275.62,True
True,True,requirements,tripleo,2279.51,False
True,False,tripleo,tripleo,20.85,True
True,False,tripleo,tripleo,7412.92,False
False,False,cinder,cinder,504.95,True
False,False,cinder,cinder,367.94,False
True,False,tripleo,tripleo,568.66,True
True,False,tripleo,tripleo,72.97,True
True,False,tripleo,tripleo,667.31,True
True,False,tripleo,tripleo,0.02,True
True,True,,tripleo,1923.61,True
True,False,tripleo,tripleo,0.06,True
True,True,,tripleo,16.98,True
True,False,kolla,kolla,2080.31,True
True,False,tripleo,tripleo,1.7,True
True,False,neutron,neutron,47.69,True
True,False,neutron,neutron,47.79,True
True,False,tripleo,tripleo,0.29,True
True,False,tripleo,tripleo,323.9,False
True,False,openstackcharms,openstackcharms,183.51,True
True,False,openstackcharms,openstackcharms,190.4,True
True,False,neutron,neutron,2034.41,False
True,False,openstackansible,openstackansible,500.25,True
True,True,ironic,kolla,6219.72,False
True,True,requirements,keystone,1.38,True
True,False,openstackansible,openstackansible,14.79,False
True,False,neutron,neutron,689.91,True
True,False,openstackcharms,openstackcharms,16679.6,False
True,False,neutron,neutron,2034.41,False
True,True,ironic,kolla,6219.71,False
True,True,ironic,kolla,5195.87,False
False,False,openstacksdk,openstacksdk,42.55,False
False,False,openstacksdk,openstacksdk,41.92,False
False,False,releasemanagement,releasemanagement,287.49,False
True,False,openstackansible,openstackansible,14.2,False
True,False,openstackansible,openstackansible,317.26,True
