Source,Target,Source_repo,Target_repo
857933,859235,openstack/manila-tempest-plugin,openstack/manila
854176,854178,openstack/tripleo-ansible,openstack/tripleo-heat-templates
861831,861794,openstack/openstack-ansible-tests,openstack/openstack-ansible-rabbitmq_server
861742,861744,openstack/openstack-ansible-tests,openstack/openstack-ansible-lxc_hosts
861742,861730,openstack/openstack-ansible-tests,openstack/openstack-ansible-os_rally
860656,861620,openstack/aodh,openstack/python-aodhclient
851728,851766,openstack/charms.openstack,openstack/charm-manila
851727,851766,openstack/charms.openstack,openstack/charm-manila
851726,851766,openstack/charms.openstack,openstack/charm-manila
851725,851766,openstack/charms.openstack,openstack/charm-manila
851724,851766,openstack/charms.openstack,openstack/charm-manila
851723,851766,openstack/charms.openstack,openstack/charm-manila
851765,851766,openstack/charms.openstack,openstack/charm-manila
861094,859721,openstack/requirements,openstack/barbican
854744,854759,openstack/kolla,openstack/kolla-ansible
860803,860804,openstack/tripleo-ansible,openstack/python-tripleoclient
861771,826925,openstack/requirements,openstack/oslo.log
861354,861589,openstack/python-tripleoclient,openstack/tripleo-quickstart
861175,861589,openstack/tripleo-heat-templates,openstack/tripleo-quickstart
861718,861589,openstack/tripleo-quickstart-extras,openstack/tripleo-quickstart
