Path,length,service_length
"['openstack/openstack-ansible-os_mistral', 'openstack/openstack-ansible', 'openstack/openstack-ansible-os_mistral', 'openstack/openstack-ansible', 'openstack/openstack-ansible-os_mistral', 'openstack/openstack-ansible', 'openstack/openstack-ansible-os_mistral', 'openstack/openstack-ansible', 'openstack/openstack-ansible-os_mistral', 'openstack/openstack-ansible', 'openstack/openstack-ansible']",2,2
"['openstack/kuryr-kubernetes', 'openstack/devstack']",2,2
"['openstack/tripleo-heat-templates', 'openstack/tripleo-heat-templates', 'openstack/octavia', 'openstack/octavia', 'openstack/tripleo-heat-templates', 'openstack/tripleo-heat-templates']",2,2
"['openstack/requirements', 'openstack/nova']",2,2
"['openstack/tripleo-heat-templates', 'openstack/puppet-ironic']",2,2
"['openstack/tripleo-heat-templates', 'openstack/openstack-tempest-skiplist', 'openstack/openstack-tempest-skiplist', 'openstack/openstack-tempest-skiplist', 'openstack/openstack-tempest-skiplist', 'openstack/openstack-tempest-skiplist']",2,2
"['openstack/governance', 'openstack/project-config']",2,2
"['openstack/manila', 'openstack/cinder']",2,2
"['openstack/tempest', 'openstack/nova']",2,2
"['openstack/openstack-ansible-os_manila', 'openstack/openstack-ansible', 'openstack/openstack-ansible', 'openstack/openstack-ansible-os_manila', 'openstack/openstack-ansible-os_manila', 'openstack/openstack-ansible-os_manila', 'openstack/openstack-ansible-os_manila', 'openstack/openstack-ansible', 'openstack/openstack-ansible']",2,2
"['openstack/tripleo-heat-templates', 'openstack/tripleo-heat-templates', 'openstack/tripleo-heat-templates', 'openstack/tripleo-ansible', 'openstack/tripleo-ansible', 'openstack/tripleo-ansible', 'openstack/tripleo-heat-templates', 'openstack/tripleo-ansible', 'openstack/tripleo-heat-templates', 'openstack/tripleo-ansible', 'openstack/puppet-tripleo', 'openstack/tripleo-heat-templates', 'openstack/tripleo-heat-templates', 'openstack/puppet-tripleo', 'openstack/puppet-tripleo', 'openstack/tripleo-ansible', 'openstack/tripleo-heat-templates', 'openstack/tripleo-heat-templates', 'openstack/tripleo-heat-templates', 'openstack/tripleo-heat-templates', 'openstack/puppet-ovn', 'openstack/puppet-ovn', 'openstack/puppet-ovn', 'openstack/puppet-tripleo', 'openstack/puppet-ovn', 'openstack/tripleo-ansible', 'openstack/tripleo-heat-templates', 'openstack/tripleo-ansible', 'openstack/tripleo-heat-templates', 'openstack/tripleo-heat-templates']",4,2
"['openstack/python-openstackclient', 'openstack/python-novaclient', 'openstack/nova']",3,2
"['openstack/tripleo-image-elements', 'openstack/tripleo-image-elements', 'openstack/diskimage-builder']",2,2
"['openstack/zun', 'openstack/zun', 'openstack/kuryr-libnetwork']",2,2
"['openstack/ironic-inspector', 'openstack/requirements']",2,2
"['openstack/zun', 'openstack/kuryr-libnetwork']",2,2
"['openstack/cinder', 'openstack/cinder', 'openstack/tempest']",2,2
"['openstack/kuryr-libnetwork', 'openstack/zun', 'openstack/kuryr-libnetwork']",2,2
"['openstack/tripleo-quickstart', 'openstack/openstack-tempest-skiplist']",2,2
"['openstack/glance', 'openstack/tempest', 'openstack/tempest', 'openstack/glance', 'openstack/glance', 'openstack/glance', 'openstack/devstack']",3,3
"['openstack/cinder', 'openstack/tempest']",2,2
"['openstack/requirements', 'openstack/nova']",2,2
"['openstack/project-config', 'openstack/ansible-config_template']",2,2
"['openstack/requirements', 'openstack/octavia']",2,2
"['openstack/python-openstackclient', 'openstack/openstacksdk', 'openstack/nova', 'openstack/neutron', 'openstack/tempest', 'openstack/openstacksdk', 'openstack/neutron']",5,4
"['openstack/requirements', 'openstack/nova']",2,2
"['openstack/ansible-collections-openstack', 'openstack/tripleo-quickstart-extras']",2,2
"['openstack/glance', 'openstack/glance', 'openstack/neutron', 'openstack/nova', 'openstack/devstack', 'openstack/devstack', 'openstack/nova', 'openstack/neutron', 'openstack/neutron', 'openstack/glance', 'openstack/nova', 'openstack/tempest', 'openstack/devstack']",5,5
"['openstack/puppet-tripleo', 'openstack/puppet-designate', 'openstack/puppet-tripleo']",2,2
"['openstack/tripleo-heat-templates', 'openstack/puppet-neutron', 'openstack/puppet-neutron', 'openstack/puppet-neutron', 'openstack/tripleo-heat-templates', 'openstack/puppet-neutron', 'openstack/puppet-neutron', 'openstack/puppet-neutron', 'openstack/puppet-neutron']",2,2
"['openstack/tripleo-quickstart-extras', 'openstack/tripleo-heat-templates', 'openstack/puppet-nova', 'openstack/puppet-nova', 'openstack/tripleo-heat-templates', 'openstack/puppet-nova']",3,2
"['openstack/ironic', 'openstack/diskimage-builder']",2,2
"['openstack/neutron', 'openstack/project-config']",2,2
"['openstack/python-glanceclient', 'openstack/requirements']",2,2
"['openstack/keystone', 'openstack/oslo.cache', 'openstack/keystonemiddleware', 'openstack/requirements']",4,3
"['openstack/tripleo-quickstart-extras', 'openstack/openstack-tempest-skiplist']",2,2
