Path,length,length_service
['openstack/kolla-ansible' 'openstack/kolla'],2,1
['openstack/tripleo-ci' 'openstack/openstack-tempest-skiplist'],2,2
['openstack/glance'],1,1
['openstack/glance' 'openstack/tempest'],2,2
['openstack/designate' 'openstack/designate-tempest-plugin'],2,1
['openstack/ironic'],1,1
"['openstack/python-openstackclient' 'openstack/tempest'
 'openstack/python-novaclient' 'openstack/nova']",4,3
['openstack/nova' 'openstack/os-traits'],2,1
['openstack/kolla' 'openstack/kolla-ansible'],2,1
"['openstack/charm-ceph-fs' 'openstack/charm-ceph-iscsi'
 'openstack/charm-ops-openstack']",3,1
['openstack/designate' 'openstack/tempest'],2,2
['openstack/tempest' 'openstack/nova' 'openstack/python-novaclient'],3,2
['openstack/tempest' 'openstack/devstack'],2,2
"['openstack/tempest' 'openstack/nova' 'openstack/cinder'
 'openstack/os-brick' 'openstack/devstack-plugin-open-cas']",5,4
['openstack/tempest' 'openstack/devstack' 'openstack/cinder'],3,3
['openstack/tempest' 'openstack/nova'],2,2
['openstack/tempest' 'openstack/puppet-nova' 'openstack/nova'],3,3
['openstack/tempest' 'openstack/nova'],2,2
['openstack/kolla-ansible' 'openstack/kayobe'],2,1
"['openstack/neutron' 'openstack/neutron-tempest-plugin'
 'openstack/devstack']",3,2
['openstack/octavia' 'openstack/octavia-tempest-plugin'],2,1
['openstack/kolla-ansible' 'openstack/kolla'],2,1
['openstack/barbican' 'openstack/barbican-tempest-plugin'],2,1
['openstack/neutron' 'openstack/nova' 'openstack/requirements'],3,3
['openstack/tripleo-heat-templates' 'openstack/tripleo-ansible'],2,1
['openstack/python-manilaclient'],1,1
['openstack/ironic' 'openstack/ironic-tempest-plugin'],2,1
['openstack/puppet-tripleo' 'openstack/tripleo-heat-templates'],2,1
"['openstack/tripleo-quickstart-extras' 'openstack/tripleo-quickstart'
 'openstack/tripleo-heat-templates' 'openstack/tripleo-common']",4,1
['openstack/horizon' 'openstack/requirements'],2,2
['openstack/oslo.log'],1,1
['openstack/tripleo-heat-templates' 'openstack/tripleo-ansible'],2,1
['openstack/tripleo-quickstart' 'openstack/tripleo-heat-templates'],2,1
['openstack/charm-ceph-mon' 'openstack/charms.ceph'],2,1
['openstack/tripleo-docs' 'openstack/tripleo-ci'],2,1
['openstack/tempest' 'openstack/nova' 'openstack/os-brick'],3,3
['openstack/tripleo-heat-templates' 'openstack/tripleo-ansible'],2,1
